trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,False,"{'a': 0.3, 'e': 0.9646402934831231}",20,7,-91.24734203609908,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 1}",1
16,False,"{'a': 0.3, 'e': 0.9623279327216104}",25,0,-92.9490648292799,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.9600211149716509}",25,0,-166.9973656391199,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.3, 'e': 0.9577198269459679}",25,0,-154.34445561532212,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.3, 'e': 0.955424055389136}",25,0,-193.9975601948373,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
20,False,"{'a': 0.3, 'e': 0.9531337870775047}",20,0,-137.0185384498963,"{0: 12, 1: 3, 2: 0, 3: 3, 4: 2}",0
21,False,"{'a': 0.3, 'e': 0.9508490088191223}",25,0,-74.90243827668913,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.3, 'e': 0.9485697074536594}",25,0,-102.09429705777947,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.3, 'e': 0.9462958698523343}",20,0,-51.25518090510713,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.3, 'e': 0.9440274829178357}",25,0,-60.58238558189808,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
25,False,"{'a': 0.3, 'e': 0.9417645335842487}",25,0,-135.45745140567374,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
26,False,"{'a': 0.3, 'e': 0.939507008816979}",20,0,-104.44141197108411,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.3, 'e': 0.9372548956126777}",30,0,-102.38729421044185,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
28,False,"{'a': 0.3, 'e': 0.9350081809991664}",30,0,-99.72888693023069,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
29,False,"{'a': 0.3, 'e': 0.9327668520353627}",25,0,-146.35817397296654,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
30,False,"{'a': 0.3, 'e': 0.9305308958112057}",20,0,-100.72670343889796,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
31,False,"{'a': 0.3, 'e': 0.9283002994475813}",25,0,-69.91442040683029,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.3, 'e': 0.9260750500962484}",25,0,-216.06344090705943,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
33,False,"{'a': 0.3, 'e': 0.9238551349397643}",20,0,-113.71594757407622,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
34,False,"{'a': 0.3, 'e': 0.9216405411914118}",20,0,-85.646672431506,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.3, 'e': 0.9194312560951247}",25,0,-49.73121560407482,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
36,False,"{'a': 0.3, 'e': 0.9172272669254148}",20,1,-42.71708968791972,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.3, 'e': 0.9150285609872982}",25,0,-124.64441768555307,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
38,False,"{'a': 0.3, 'e': 0.9128351256162229}",25,0,-45.567027948429654,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
39,False,"{'a': 0.3, 'e': 0.9106469481779949}",20,0,-120.83975583240746,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
40,False,"{'a': 0.3, 'e': 0.9084640160687062}",30,0,-261.95092632059016,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 5}",0
41,False,"{'a': 0.3, 'e': 0.9062863167146618}",20,0,-100.38020152278906,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
42,False,"{'a': 0.3, 'e': 0.9041138375723072}",25,0,-65.59201452909433,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
43,False,"{'a': 0.3, 'e': 0.9019465661281568}",25,0,-151.91740408678655,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",1
44,False,"{'a': 0.3, 'e': 0.8997844898987211}",30,0,-248.0640522554886,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 6}",0
45,False,"{'a': 0.3, 'e': 0.8976275964304349}",30,3,-109.84605096950496,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 1}",1
46,False,"{'a': 0.3, 'e': 0.8954758732995859}",30,0,-208.14675352459,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
47,False,"{'a': 0.3, 'e': 0.8933293081122429}",25,0,-166.8169935770117,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
48,False,"{'a': 0.3, 'e': 0.8911878885041844}",30,0,-109.16804152576829,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
49,False,"{'a': 0.3, 'e': 0.8890516021408278}",25,0,-79.90283376140408,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
50,False,"{'a': 0.3, 'e': 0.8869204367171575}",20,0,-74.08003900750653,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.3, 'e': 0.8847943799576549}",30,0,-210.33109385897208,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
52,False,"{'a': 0.3, 'e': 0.8826734196162271}",20,0,-131.32048074346528,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
53,False,"{'a': 0.3, 'e': 0.8805575434761367}",20,0,-165.48272662883838,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
54,False,"{'a': 0.3, 'e': 0.8784467393499313}",25,0,-66.3029308885065,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
55,False,"{'a': 0.3, 'e': 0.8763409950793734}",20,0,-126.33443202532389,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
56,False,"{'a': 0.3, 'e': 0.8742402985353699}",30,0,-132.90326969567607,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
57,False,"{'a': 0.3, 'e': 0.8721446376179031}",30,0,-77.41823903857082,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.3, 'e': 0.8700540002559602}",25,5,-25.02502763821668,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
59,False,"{'a': 0.3, 'e': 0.8679683744074644}",20,0,-110.94278808106773,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.3, 'e': 0.865887748059205}",25,0,-201.57639193535059,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
61,False,"{'a': 0.3, 'e': 0.8638121092267684}",20,0,-117.06605982270072,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
62,False,"{'a': 0.3, 'e': 0.8617414459544692}",25,0,-114.79499666066869,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
63,False,"{'a': 0.3, 'e': 0.8596757463152812}",30,0,-113.82869353590334,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
64,False,"{'a': 0.3, 'e': 0.8576149984107688}",20,0,-32.46441982415572,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.3, 'e': 0.8555591903710185}",20,0,-118.69346308003948,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
66,False,"{'a': 0.3, 'e': 0.8535083103545701}",20,0,-76.6054738938889,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
67,False,"{'a': 0.3, 'e': 0.8514623465483491}",20,0,-23.631432854736794,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.3, 'e': 0.8494212871675983}",30,0,-50.650224301849434,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 0}",0
69,False,"{'a': 0.3, 'e': 0.8473851204558103}",20,0,-40.59116842759437,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
70,False,"{'a': 0.3, 'e': 0.8453538346846587}",25,0,-128.52461124729993,"{0: 12, 1: 2, 2: 9, 3: 2, 4: 0}",0
71,False,"{'a': 0.3, 'e': 0.8433274181539323}",30,0,-76.92167871889734,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
72,False,"{'a': 0.3, 'e': 0.841305859191466}",20,3,-12.0501587979184,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.3, 'e': 0.8392891461530747}",20,0,-68.28055995830853,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
74,False,"{'a': 0.3, 'e': 0.8372772674224858}",25,0,-127.92764232651378,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
75,False,"{'a': 0.3, 'e': 0.835270211411272}",25,0,-68.38078063170047,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
76,False,"{'a': 0.3, 'e': 0.8332679665587854}",25,0,2.0215955501106677,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.3, 'e': 0.83127052133209}",20,0,-127.45410837435031,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
78,False,"{'a': 0.3, 'e': 0.8292778642258957}",25,0,-95.58136856744281,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.3, 'e': 0.8272899837624922}",20,1,-42.349011073040266,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 0}",1
80,False,"{'a': 0.3, 'e': 0.8253068684916824}",25,0,-118.25111486852917,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
81,False,"{'a': 0.3, 'e': 0.8233285069907169}",25,0,-117.73071121546134,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
82,False,"{'a': 0.3, 'e': 0.8213548878642282}",20,0,-83.90663166011572,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.3, 'e': 0.8193859997441643}",25,0,-113.39230350921166,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
84,False,"{'a': 0.3, 'e': 0.8174218312897243}",30,0,-193.26340074943906,"{0: 19, 1: 4, 2: 2, 3: 1, 4: 4}",0
85,False,"{'a': 0.3, 'e': 0.8154623711872927}",25,0,-136.56631753183422,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
86,False,"{'a': 0.3, 'e': 0.8135076081503737}",20,0,-122.64043572553385,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
87,False,"{'a': 0.3, 'e': 0.8115575309195268}",20,0,-59.24651640909965,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
